Book_Title,Author,Average Rating,Total Rating,Total Score,People Voted
"The Iron Witch (The Iron Witch, #1)",Karen Mahoney,3.45,9729,"4,783",54
The Catcher in the Rye,J.D. Salinger,3.81,3290528,"4,698",57
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,9189814,"4,680",56
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3021181,"4,679",53
An Abundance of Katherines,John Green,3.53,511611,"4,487",50
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,1726608,"4,412",49
"Crossroads and the Himalayan Crystals (Crossroads, #1)",C. Toni Graham,4.32,11807,"4,361",47
The Color Purple,Alice Walker,4.25,628511,"4,336",52
The Sisters Brothers,Patrick deWitt,3.85,93537,"4,331",48
The Weird Sisters,Eleanor Brown,3.37,45735,"4,284",48
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.9,2235592,"4,173",49
"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.74,584447,"4,149",47
Dogshit Saved My Life,Karl Wiggins,4.16,165,"4,137",42
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3557540,"4,133",48
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3118500,"4,092",49
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.27,612658,"4,075",48
1984,George Orwell,4.19,4150969,"4,018",49
Fight Club,Chuck Palahniuk,4.19,558397,"3,959",46
Wuthering Heights,Emily Brontë,3.88,1668745,"3,954",46
Ripple,Mandy Hubbard,3.69,5780,"3,926",45
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.15,695582,"3,903",42
The Midwife's Confession,Diane Chamberlain,4.08,40398,"3,894",43
A Tree Grows in Brooklyn,Betty  Smith,4.29,439860,"3,872",43
Then Came You,Jennifer Weiner,3.71,46128,"3,838",42
Looking for Alaska,John Green,3.98,1471202,"3,766",44
"Outlander (Outlander, #1)",Diana Gabaldon,4.25,983293,"3,754",43
The Sacred Well Murders,Susan  Rowland,4.31,5890,"3,709",42
"Autobiography of Mark Twain, Volume 1: The Complete and Authoritative Edition",Mark Twain,3.79,8437,"3,682",39
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.12,885651,"3,682",44
Embassytown,China Miéville,3.89,30303,"3,668",39
"Lost in Shangri-la: A True Story of Survival, Adventure, and the Most Incredible Rescue Mission of World War II",Mitchell Zuckoff,3.86,45065,"3,657",40
Paradox Effect: Time Travel and Purified DNA Merge to Halt the Collapse of Human Existence,Gabriel F.W. Koch,4.33,11099,"3,646",41
"Death Leaves a Shadow (Marlowe Black Mystery, #2)",Gabriel F.W. Koch,4.32,11246,"3,563",41
We Need to Talk About Kevin,Lionel Shriver,4.08,185223,"3,558",40
"Why They Stay: Sex Scandals, Deals, and Hidden Agendas of Eight Political Wives",Anne Michaud,4.32,5164,"3,548",37
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,514887,"3,503",38
"Inferno (Robert Langdon, #4)",Dan Brown,3.88,528442,"3,471",38
"Matching Configurations (Quantum Roots, #3)",Kyle Keyes,4.3,6565,"3,463",38
